日期,标题,中文标题,原文链接,标签,类型,双语链接
2009/5/27,My $3.3M mistake,价值 330 万美元的错误,https://sive.rs/mistake,Anything You Want,故事,
2011/1/23,Delegate or die: the self-employed trap,要么授权，要么累死,https://sive.rs/delegate,Anything You Want,,
2009/10/7,Not happy with existing venues? Make a new one.,别抱怨，去创造。,https://sive.rs/makenew,Your Music and People,,
2009/10/6,"What’s the difference between like, love, and in-love?",喜欢、爱和恋爱之间有什么区别？,https://sive.rs/inlove,Articles,,
2009/9/27,If only one percent of those people…,如果只有百分之一……,https://sive.rs/1pct,Anything You Want,反常,
2009/9/24,Does your company really want to hang out with me?,你是对我感兴趣，还是只想谈生意？,https://sive.rs/sms,Articles,比喻,https://readit.site/a/4iZQs
2009/9/23,Biking,骑行,https://sive.rs/biking,Articles,,
2009/9/22,Venue for audience to mix their own audio,观众自行混音,https://sive.rs/venuemix,Articles,,
2009/9/21,Emphasize meaning over price.,强调意义而不是价格。,https://sive.rs/livecd,Your Music and People,反常,https://readit.site/a/xwNur
2009/9/17,Is there such a thing as too much freedom?,是否存在过于自由的情况？,https://sive.rs/freedom,Articles,,
2009/9/16,Write? Write. Sleep? Sleep. Read? Read. Don’t fight it.,不要对抗，做你想做的。,https://sive.rs/dont-fight-it,Articles,,
2009/9/13,Safety,安全感,https://sive.rs/safety,Articles,反常,
2009/9/12,Imagining lots of tedious steps? Or one fun step?,你期待开始吗？,https://sive.rs/steps,Hell Yeah or No,,
2009/9/11,Does it help to be desperate? Part 2,绝望有用吗？第二部分,https://sive.rs/desperate2,Articles,,
2009/9/10,Does it help to be desperate?,绝望有用吗？,https://sive.rs/desperate,Articles,,
2009/9/6,Climbing ladders,继续爬梯子,https://sive.rs/ladders,Articles,故事,
2009/9/4,My heroes,我的榜样,https://sive.rs/heroes,Articles,人物,https://readit.site/a/xLShj
2009/9/1,Kurt Vonnegut explains drama,库尔特·冯内古特解释戏剧,https://sive.rs/drama,Articles,人物,
2009/8/31,How to send personalized emails,如何发送个性化电子邮件,https://sive.rs/emailer,Tech blog,,
2009/8/30,Sprezzatura,暗自努力,https://sive.rs/sprezzatura,Articles,人物,
2009/8/29,What do you hate not doing?,你讨厌不做什么？,https://sive.rs/hatenot,Hell Yeah or No,,
2009/8/28,Musician’s own website as definitive source of all info,音乐家自己的网站是所有信息的权威来源,https://sive.rs/mhost,Articles,,
2011/7/22,Make it anything you want,想清楚你要什么,https://sive.rs/ayw7,Anything You Want,,
2009/7/26,A computer that would require kids to be creative to use it,需要孩子们发挥创造力才能使用的电脑,https://sive.rs/kidspc,Tech blog,,
2009/11/24,"Trust, but verify",信任，但要核实,https://sive.rs/trustbut,Anything You Want,故事,
2009/7/14,"Listen to my music, and let me know what I should do",听听我的音乐，告诉我该怎么做,https://sive.rs/letmeknow2,Articles,,
2009/7/11,Barking,更聪明，而不是更大声,https://sive.rs/barking,Your Music and People,故事,
2009/7/10,The power of no reward,不求回报的力量,https://sive.rs/no-reward,Articles,反常,
2009/7/7,"The mirror: It’s about you, not them.",因噎废食,https://sive.rs/you-not-them,Hell Yeah or No,,
2009/7/1,Semi-experts: profit by saving us time,半专家：通过帮我们节省时间获利,https://sive.rs/semi-expert,Articles,,
2009/6/29,Nothing to waste: The advantage of being under-funded,不浪费：资金不足的好处,https://sive.rs/novc,Articles,,
2009/6/28,Version 0.1 = Start lo-fi,从 0.1 版本开始,https://sive.rs/lofi,Articles,,
2009/6/26,Early drafts of great work are encouraging,伟大作品的初稿,https://sive.rs/early,Articles,,
2009/6/24,Doing the opposite of everyone is valuable.,做别人没做的事。,https://sive.rs/contrarian,Your Music and People,,
2009/6/22,Japanese addresses: No street names. Block numbers.,日本地图没有街道名称。,https://sive.rs/jadr,Articles,反常,
2009/6/21,Customers given too many choices are 10x less likely to buy,顾客选择过多，购买可能性降低 10 倍,https://sive.rs/jam,Articles,,
2009/6/16,Announcing your plans makes you less motivated to accomplish them,宣布计划会让你失去动力,https://sive.rs/zipit,Articles,反常,
2009/6/15,That’s version infinity. First launch version 0.1.,先集中精力推出 0.1 版。,https://sive.rs/infinity,Articles,故事,
2009/6/11,Show success before asking for help.,在寻求帮助之前，先展示成绩。,https://sive.rs/success-first,Your Music and People,,
2009/6/10,Why you need your own company,为什么你需要自己的公司,https://sive.rs/laboratory,Anything You Want,,
2009/6/9,MusicThoughts update : inspiring quotes for music-makers,音乐人格言更新：音乐人的励志名言,https://sive.rs/musicthoughts2,Articles,,
2009/6/6,How to make a movement. Lessons learned from dancing guy.,如何发起一场运动。从跳舞小伙子身上学到的经验。,https://sive.rs/dance-lessons,Articles,,
2009/6/5,Are you present-focused or future-focused?,你关注现在还是未来？,https://sive.rs/time,Hell Yeah or No,,
2009/6/5,You have enough.,知足常乐。,https://sive.rs/enough,Articles,,
2009/6/3,Some people like to pay. Let them.,有人喜欢付钱，让他们付吧。,https://sive.rs/ppay,Your Music and People,反常,
2009/6/2,"Are fans telling friends? If not, don’t promote.",粉丝会告诉朋友吗？如果没有，就不要宣传。,https://sive.rs/purplecow,Your Music and People,,
2009/6/1,The security of no security,不安全感带来的安全感,https://sive.rs/no9to5,Your Music and People,,
2009/5/29,What super-power do you want?,你想要什么超能力？,https://sive.rs/super-power,Articles,,
2009/5/28,You need to be profitable to last.,你需要盈利才能长久。,https://sive.rs/sustainable,Your Music and People,,
2011/7/23,"Delegate, but don’t abdicate",让权，但不要过度,https://sive.rs/abdicate,Anything You Want,故事,
2009/5/26,Have you looked under the chickens?,观鸡试试？,https://sive.rs/chickens,Articles,,
2009/5/25,Not what it used to be!,时代变了！,https://sive.rs/decaying,Articles,,
2009/5/22,Character predicts your future,性格决定命运,https://sive.rs/character,Hell Yeah or No,,
2009/5/21,Sammy Cahn said thank you,萨米·卡恩对我说谢谢,https://sive.rs/sammy-cahn,Articles,故事,https://readit.site/a/1ssFB
2009/5/21,"Goals shape the present, not the future.",能让你马上行动的才是好目标,https://sive.rs/goals,Hell Yeah or No,反常,
2009/3/7,Aimee Mullins,艾米·穆林斯,https://sive.rs/aimee-mullins,Articles,人物,
2009/3/7,Accelerate change,加速改变,https://sive.rs/accch,Articles,,
2009/2/28,My favorite fable,我最喜欢的寓言故事,https://sive.rs/horses,Hell Yeah or No,,
2009/2/27,What do you do for feedback on a new song you’re writing?,你在创作新歌时如何获得反馈？,https://sive.rs/songfeedback,Articles,实操,
2009/2/26,Ideas to Reality,从想法到现实,https://sive.rs/ideas2,Articles,,
2009/2/19,"A free, open song contest idea",一个自由、开放的歌曲比赛想法,https://sive.rs/songtesti,Articles,,https://readit.site/a/Ejn1F
2009/1/24,MusicThoughts.com,音乐人格言,https://sive.rs/see-musicthoughts,Articles,,https://readit.site/a/JDG9g
2009/1/10,Advice for a 19-year-old guitarist who wants to be a session musician.,给想精进的 19 岁吉他手建议。,https://sive.rs/session-musician,Articles,实操,https://readit.site/a/t6Vpe
2009/1/8,Complainers,抱怨意味着什么,https://sive.rs/complainers,Articles,,
2008/12/31,Don’t... if you think it’s going to make you happy,别……如果你觉得这能让你开心的话,https://sive.rs/make-you-happy,Articles,,
2008/12/22,Getting past it,挺过困难,https://sive.rs/pastit,Articles,,
2008/12/18,Assume nobody is going to help you.,假设没有人会帮你。,https://sive.rs/up2you,Your Music and People,,
2008/12/13,Happiness is letting someone make you the villain,幸福就是让别人把你当成小人,https://sive.rs/villain,Articles,反常,https://readit.site/a/RsxDb
2008/12/12,How to attend a conference,如何参加行业会议,https://sive.rs/conferences,Your Music and People,实操,https://readit.site/a/ilbat
2008/11/22,Make mystery : make people wonder.,制造神秘：让人们好奇。,https://sive.rs/mystery,Your Music and People,,
2008/11/14,Real rebellion is going to school wearing a clown suit,真正的叛逆是穿着小丑服去上学,https://sive.rs/realrebel,Articles,反常,
2009/10/13,How I knew I was done with my company,我什么时候决定卖掉公司,https://sive.rs/done,Anything You Want,故事,https://readit.site/a/uZ0zu
2008/10/21,Are foreign accents a reflection of identity?,外国口音是身份的反映吗？,https://sive.rs/accents,Articles,,
2008/10/17,"Nobody knows the future, so focus on what doesn’t change.",放弃预测，专注不变的事。,https://sive.rs/no-oracle,Your Music and People,,
2008/10/16,The Grand Pursuit,追求伟大,https://sive.rs/grand-pursuit,Articles,,
2008/10/15,Uncomparable: anchor a new mama,与众不同：找一个新锚点,https://sive.rs/uncomparable,Articles,,
2008/9/13,Are you at the starting line or the finish line?,你在起跑线还是终点线？,https://sive.rs/lines,Your Music and People,反常,
2008/9/11,Mastering entrepreneurship?,怎样才算精通创业？,https://sive.rs/mentre,Articles,,
2008/9/10,Small actions change your self-identity,千里之行，始于足下,https://sive.rs/actid,Hell Yeah or No,,
2008/9/9,Iceland,冰岛,https://sive.rs/iceland,Articles,,
2008/9/5,6 things I wish I knew the day I started Berklee,我希望刚到伯克利就知道的 6 件事,https://sive.rs/berklee,Articles,,https://readit.site/a/OBAkj
2008/8/13,Reversible business models,逆向商业模式,https://sive.rs/reversible,Articles,,
2008/8/4,"Bye-Bye, Baby!",再见，CD Baby！,https://sive.rs/bye-bye-baby,Articles,,
2008/7/13,"Ah, to own nothing!",啊，一身轻！,https://sive.rs/own-nothing,Articles,,
2008/7/9,Songwriters who don’t perform,不会表演的词曲创作者,https://sive.rs/songwriters-only,Articles,,https://readit.site/a/KRp1q
2008/6/26,Action-Reaction,作用与反作用力,https://sive.rs/action-reaction,Articles,,
2008/6/9,A Musician’s Advice About the College Market,一位音乐家对大学市场的建议,https://sive.rs/college,Articles,,
2008/5/29,Selling music by solving a specific need,针对细分市场销售,https://sive.rs/candles,Your Music and People,反常,
2008/5/17,How was India?,印度怎么样？,https://sive.rs/how-was-india,Articles,,
2008/5/17,Don’t promote until people can take action.,在人们能采取行动之前，不要推广。,https://sive.rs/buyable,Your Music and People,,
2008/5/8,"two three four ONE, two three four ONE",二三四一，二三四一,https://sive.rs/fela,Hell Yeah or No,反常,
2008/5/7,Aim for the edges.,瞄准边缘。,https://sive.rs/no-bullseye,Your Music and People,比喻,
2008/4/29,Restrictions will set you free.,限制会让你自由。,https://sive.rs/restr,Your Music and People,,
2008/4/25,Eliminating the time between thinking something and doing it,消除拖延,https://sive.rs/thinking-doing,Articles,,
2008/4/24,"If I had a record label, would you be signed to it?",如果我有一家唱片公司，你会签约吗？,https://sive.rs/label-list,Articles,,https://readit.site/a/FzuNp
2008/4/16,Circle of influence — Circle of concern,影响圈和关注圈,https://sive.rs/circles,Articles,,
2008/4/15,Piracy is not the problem,盗版不是问题,https://sive.rs/pigs-sharks,Articles,反常,
2008/4/7,"What should I do when someone says, “Let me know what you think!” of their music?",当有人说 「想知道你对我音乐的看法」时，我该怎么办？,https://sive.rs/letmeknow,Articles,反常,
2008/4/6,Never have a limit on your income.,永远不要对你的收入设限。,https://sive.rs/nolimit,Your Music and People,,
2008/3/26,"Whatever scares you, go do it",怕什么，就做什么,https://sive.rs/scares,Hell Yeah or No,反常,https://readit.site/a/5leny
2008/3/24,Happy 10th Birthday to CD Baby — and an announcement,CD Baby 十岁生日快乐，并宣布一项消息,https://sive.rs/bilbo,Articles,,
2009/12/4,Why I gave my company to charity,我为什么把公司捐给慈善机构,https://sive.rs/trust,Anything You Want,故事,
2007/9/25,The public you is not you,长得像我的纸板人,https://sive.rs/publicu,Hell Yeah or No,反常,
2007/9/23,7 reasons I switched back to PHP after 2 years on Rails,使用 Rails 2 年后，我转回 PHP 的 7 个原因,https://sive.rs/rails2php,Tech blog,,
2011/7/24,You make your perfect world,创造你的完美世界,https://sive.rs/ayw8,Anything You Want,,
2000/9/10,Compass in your gut,内心的指南针,https://sive.rs/compass,Your Music and People,,
2000/9/7,Ignore advice that drains you.,忽略那些不令你兴奋的建议。,https://sive.rs/drain,Your Music and People,,
2000/9/3,Stay in over your head,保持窒息,https://sive.rs/oyh,Articles,,
2000/8/30,You don’t get extreme results without extreme actions.,非凡人不做平凡事。,https://sive.rs/extremex,Your Music and People,,
2000/8/27,"Be a competent novice, not an expert.",当个合格的新手，而不是专家。,https://sive.rs/novicex,Your Music and People,反常,
2000/8/23,Have someone work the inside of the industry.,组建专业团队。,https://sive.rs/insidr,Your Music and People,,
2000/8/20,"Assume the basic sale, and go for quantity",用锚定效应卖杂志,https://sive.rs/quantity,Articles,故事,
2000/8/13,"Get rejected, get filtered.",拒绝疗法。,https://sive.rs/gofilt,Your Music and People,反常,https://readit.site/a/6fWXi
2000/8/10,Photos of your audience on your website,把观众照片上传到你网站,https://sive.rs/phoaud,Articles,,
2000/8/4,Put your fans to work.,让粉丝为你工作。,https://sive.rs/fanwork,Your Music and People,反常,https://readit.site/a/nolhv
2000/8/1,"Call the destination, and ask for directions.",打电话到目的地问路。,https://sive.rs/destdir,Your Music and People,实操,https://readit.site/a/nV1rr
2000/7/13,Your interactive website,在网上和粉丝互动,https://sive.rs/intrweb,Articles,,
2000/7/10,"Promo bits, ready to copy",复制宣传介绍，随时粘贴,https://sive.rs/promobox,Articles,实操,
2000/7/4,Or you can not talk at all.,不必没话找话。,https://sive.rs/notalk,Your Music and People,,
2000/7/1,Describe your music like a non-musician.,说用户听得懂的。,https://sive.rs/nomu,Your Music and People,,
2000/6/25,"Without a good reason, they won’t bother.",给对方一个理由，让他们好奇。,https://sive.rs/whycare,Your Music and People,,
2000/6/23,Hillbilly Flamenco,乡巴佬弗拉门戈,https://sive.rs/hillbf,Your Music and People,,
2000/6/20,Don’t know how to describe your music?,如何描述你的音乐？,https://sive.rs/dym,Your Music and People,,
2000/6/17,Make people curious in one sentence.,用一句话让人们好奇。,https://sive.rs/shrtd,Your Music and People,反常,
2000/6/13,When your music can’t speak for itself,在你家喻户晓之前,https://sive.rs/wordsm,Your Music and People,,
2000/6/4,Shining example: Rayko,闪亮的榜样：雷科,https://sive.rs/rayko,Articles,人物,https://readit.site/a/E0kkX
2000/6/1,Life is like high school.,生活就像高中。,https://sive.rs/hs,Your Music and People,比喻,
2000/5/30,Small gifts go a long way.,小礼物大作用。,https://sive.rs/smgf,Your Music and People,故事,
2000/5/27,Don’t be afraid to ask for favors.,不要害怕找人帮忙。,https://sive.rs/favors,Your Music and People,,
2000/5/21,Always think how you can help someone.,时刻想着如何帮助别人。,https://sive.rs/hych,Your Music and People,,
2000/5/18,Meet three new people every week.,每周认识三个新朋友。,https://sive.rs/ppweek,Your Music and People,,
2000/5/10,Stay in touch with hundreds of people.,与数百人保持联系。,https://sive.rs/hundreds,Your Music and People,实操,https://readit.site/a/mIBnv
2000/5/7,Persistence is polite.,坚持就是礼貌。,https://sive.rs/persistence,Your Music and People,反常,
2000/5/4,Don’t be a mosquito.,别做蚊子。,https://sive.rs/mosquito,Your Music and People,,
2000/5/1,Every breakthrough comes from someone you know.,每次突破都来自你认识的某个人。,https://sive.rs/syk,Your Music and People,,
2000/4/20,Captain T,Captain T,https://sive.rs/capt,Your Music and People,故事,
2000/4/17,Business is creative.,商业也需要创意。,https://sive.rs/bizriff,Your Music and People,,
2000/4/14,This is only a test. See what happens.,只是个测试。看看会发生什么。,https://sive.rs/tvtest,Your Music and People,,
2000/4/10,Direct it yourself.,不必亲力亲为。,https://sive.rs/diy,Your Music and People,,
2000/4/7,"Was 10%, now 90%",以前是 10%，现在是 90%,https://sive.rs/1090,Your Music and People,,
2000/4/4,A good plan wins no matter what happens.,两手准备，无论发生什么你的计划都会成功。,https://sive.rs/gbp,Your Music and People,反常,
2000/4/1,Test marketing,测试营销,https://sive.rs/testm,Your Music and People,,
2000/3/20,Well-rounded doesn’t cut.,全面发展不够锋利。,https://sive.rs/rounded,Your Music and People,比喻,
2000/3/5,A hundred actors on stage,舞台上有一百位演员,https://sive.rs/actors,Your Music and People,,
2000/2/27,Don’t try to sound big.,别装。,https://sive.rs/ncorp,Your Music and People,,
2000/2/22,Touch as many of their senses as you can.,尽可能多地触动感官。,https://sive.rs/senses,Your Music and People,,
2000/2/17,People search harder for the obscure.,人们在努力寻找晦涩难懂的东西。,https://sive.rs/prgrk,Your Music and People,,
2000/2/12,"If you target sharp enough, you will own your niche.",如果你定位明确，就会拥有细分市场。,https://sive.rs/trshr,Your Music and People,,
2000/2/7,The most expensive vodka,最贵的伏特加,https://sive.rs/vodka,Your Music and People,,
2000/2/2,Proudly exclude most people.,骄傲地将大多数人排除在外。,https://sive.rs/exclude,Your Music and People,,
2000/1/30,A curious answer to the most common question,为常见问题准备有趣的答案,https://sive.rs/wysl,Your Music and People,实操,https://readit.site/a/oKQpH
2000/1/25,Use the tricks that worked on you.,分析、运用吸引你的技巧。,https://sive.rs/wwoy,Your Music and People,,
2000/1/10,Constantly ask what they really want.,不断询问他们真正想要什么。,https://sive.rs/wdtrw,Your Music and People,,
2000/1/4,How to get through the gates?,如何通过大门？,https://sive.rs/solicited,Your Music and People,,
2000/1/2,It’s just people inside the machine!,机器里有人！,https://sive.rs/people1,Your Music and People,,
2000/1/1,Some quick context for these stories,简单介绍《Your Music and People》的创作背景,https://sive.rs/m2,Your Music and People,,
2000/1/1,What’s inside this book,《Your Music and People》在讲什么,https://sive.rs/m1,Your Music and People,,https://readit.site/a/iNNPh
